accuracy,dataset_name,model,model_name,time
0.846467150699,20ng-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,330.322949171
0.847706746945,20ng-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,277.071680069
0.840623339826,20ng-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,305.659487963
0.841508765716,20ng-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,318.997347832
0.841508765716,20ng-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,318.997347832
0.832831591996,20ng-no-short.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,331.818242073
0.823946156571,20ng-no-stop.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,276.399847984
0.757350336521,20ng-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,274.783288002
0.921611721612,r52-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,134.288135052
0.914285714286,r52-no-short.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,134.602189064
0.913186813187,r52-no-stop.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,135.08990407
0.901465201465,r52-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,134.171399832
0.965696917065,r8-all-terms.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,114.769466877
0.968736430743,r8-no-short.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,114.312346935
0.957012592271,r8-no-stop.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,114.706732035
0.950499348676,r8-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,114.59988904
0.900879296563,webkb-stemmed.txt,"FCholletCNN(dropout_rate=0.5, optimizer=adam, weight=0.1, batch_size=32, epochs=20, pos_tagging=True, embedding_dim=100, max_seq_len=1000, embeddings_path=../data/glove.6B/glove.6B.100d.txt, units=400)",CNN GloVe,64.3411111832
accuracy,dataset_name,model,model_name,time
